COD_VIA;VIA_SQC;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;FECHA_DE_ALTA;FECHA_DE_BAJA;VIA_ESTADO
00000893;1;PLAZA;DEL;RIO VALDUEZA;RÍO VALDUEZA;31/05/1990;08/02/2006;H
00000894;2;CALLE;DEL;TIBERIADES;TIBERÍADES;25/03/1993;;V
00000894;1;CALLE;DEL;MAR ADRIATICO;MAR ADRIÁTICO;31/05/1990;25/03/1993;V
00000895;1;CALLE;DE;JAVIER DEL QUINTO;JAVIER DEL QUINTO;31/05/1990;;V
00000896;1;CALLE;DE;MALAGON;MALAGÓN;31/05/1990;;V
00000897;1;CALLE;DE;TORDOMAR;TORDOMAR;31/05/1990;;V
00000898;1;CALLE;DE;AYACUCHO;AYACUCHO;31/05/1990;;V
00000899;1;CALLE;DE;AREQUIPA;AREQUIPA;31/05/1990;;V
00000900;1;CALLE;DEL;ABARDERO;ABARDERO;01/01/1969;;V
00000901;1;CALLE;DE;ACONCAGUA;ACONCAGUA;31/05/1990;;V
00000902;1;GLORIETA;DEL;MAR DE CRISTAL;MAR DE CRISTAL;31/05/1990;;V
00000903;1;CALLE;DEL;NEVADO DEL RUIZ;NEVADO DEL RUIZ;31/05/1990;;V
00000904;1;CALLE;DEL;NEVADO DEL CUMBAL;NEVADO DEL CUMBAL;31/05/1990;;V
00000905;1;CALLE;DE;GUATAVITA;GUATAVITA;31/05/1990;;V
00000906;1;CALLE;DE;PAIPA;PAIPA;31/05/1990;;V
00000907;1;CALLE;DE;TORRESANDINO;TORRESANDINO;31/05/1990;;V
00000908;1;CALLE;DE;MINAYA;MINAYA;31/05/1990;;V
00000909;1;GLORIETA;DEL;RIO URUBAMBA;RÍO URUBAMBA;31/05/1990;;V
00000909;2;AUTOVIA;;M-40 ENLACE 5;M-40 ENLACE 5;01/01/1990;31/05/1990;V
00000910;1;CALLE;DE;VALDESPINA;VALDESPINA;31/05/1990;;V
00000911;1;CALLE;DE;MONTALBOS;MONTALBOS;31/05/1990;;V
00000912;1;CALLE;DE;VERDE VIENTO;VERDE VIENTO;31/05/1990;;V
00000913;1;CALLE;DE;CAMBORIO;CAMBORIO;31/05/1990;;V
00000914;2;CALLE;DE;VARGAS HEREDIA;VARGAS HEREDIA;29/04/1992;;V
00000914;1;CALLE;DEL;ROMANCERO GITANO;ROMANCERO GITANO;31/05/1990;29/04/1992;V
00000915;1;CALLE;DE;AINSA;AÍNSA;31/05/1990;;V
00000916;1;CALLE;DE;CALATAÑAZOR;CALATAÑAZOR;31/05/1990;;V
00000917;1;PASEO;DEL;DOCTOR VALLEJO NAGERA;DOCTOR VALLEJO NÁGERA;31/05/1990;;V
00000918;1;CALLE;DEL;ARANDANO;ARÁNDANO;31/05/1990;;V
00000919;1;CALLE;DE LOS;BREZOS;BREZOS;31/05/1990;;V
00000920;1;CALLE;DE LA;FUENTE DEL PAVO;FUENTE DEL PAVO;31/05/1990;;V
00000921;1;CALLE;DE LOS;FERIANTES;FERIANTES;31/05/1990;;V
00000922;1;PLAZA;DE;EUGENIO MARIA DE HOSTOS;EUGENIO MARÍA DE HOSTOS;31/05/1990;;V
00000923;1;CALLE;DE LA;PARODIA;PARODIA;27/06/1990;;V
00000924;1;CALLE;DE;SERAFIN DE ASIS;SERAFÍN DE ASÍS;27/06/1990;;V
00000925;1;CALLE;DE LA;CARLINA;CARLINA;27/06/1990;;V
00000926;1;CALLE;DE LA;RUEZA;RUEZA;27/06/1990;;V
00000927;1;CALLE;DE LA;ALVERJA;ALVERJA;27/06/1990;;V
00000928;1;PLAZA;DE LA;ACHICORIA;ACHICORIA;27/06/1990;;V
00000929;1;CALLE;DE LA;NEGUILLA;NEGUILLA;27/06/1990;;V
00000930;1;CALLE;DE LA;GENISTA;GENISTA;27/06/1990;;V
00000931;1;CALLE;DE;ACEDERA;ACEDERA;26/06/1990;27/06/1990;H
00000932;1;TRAVESIA;DE LA;VIRGEN DE LA ROCA;VIRGEN DE LA ROCA;27/07/1990;;V
00000933;1;PASAJE;DE LA;VIRGEN DE LA ALEGRIA;VIRGEN DE LA ALEGRÍA;27/07/1990;;V
00000934;1;GLORIETA;DE;PIEDRAFITA DEL CEBRERO;PIEDRAFITA DEL CEBRERO;27/07/1990;;V
00000935;1;CALLE;DE;BECERREA;BECERREA;27/07/1990;;V
00000936;1;CALLE;DEL;VALLE DE LA FUENFRIA;VALLE DE LA FUENFRÍA;27/07/1990;;V
00000937;1;AVENIDA;DE;JOAQUIN GARRIGUES WALKER;JOAQUÍN GARRIGUES WALKER;27/07/1990;;V
